config_id,status,config_name,config_desc,config_settings,role_applicability,os_version_applicability,mitre_tactic,mitre_technique
CONF-1,Active,Enforce strong password policy,Require complex passwords with minimum length and history enforcement,"HKLM\SOFTWARE\Microsoft\Windows\CurrentVersion\Policies\System\MinimumPasswordLength=14; PasswordComplexity=1; PasswordHistorySize=24",Member Server,"2012; 2012R2; 2016; 2022; 2025",Credential Access,T1110.001 - Password Guessing
CONF-2,Active,Disable legacy SMB1,Prevent use of deprecated SMBv1 protocol to mitigate known vulnerabilities,"HKLM\SYSTEM\CurrentControlSet\Services\LanmanServer\Parameters\SMB1=0; HKLM\SYSTEM\CurrentControlSet\Services\mrxsmb10\Start=4",All Roles,"2012; 2012R2; 2016; 2022; 2025",Lateral Movement,T1021.002 - SMB/Windows Admin Shares
CONF-3,Active,Harden RDP encryption,"Force TLS, require NLA, and set minimum encryption level for Remote Desktop","HKLM\SYSTEM\CurrentControlSet\Control\Terminal Server\WinStations\RDP-Tcp\SecurityLayer=2; UserAuthentication=1; MinEncryptionLevel=3",Domain Controller,"2012; 2012R2; 2016; 2022; 2025",Initial Access,T1133 - External Remote Services
CONF-4,Retired,Disable guest account,Ensure built-in Guest account is disabled to reduce anonymous access,"HKLM\SAM\SAM\Domains\Account\Users\000001F5\F=0x00000211 (disabled)",Member Server,"2012; 2012R2; 2016; 2022; 2025",Credential Access,T1078.001 - Local Accounts
CONF-5,Draft,Enable Windows Defender real-time protection,Turn on real-time protection and cloud-delivered protection,"HKLM\SOFTWARE\Policies\Microsoft\Windows Defender\Real-Time Protection\DisableRealtimeMonitoring=0; SpynetReporting=2; SubmitSamplesConsent=1",All Roles,"2012; 2012R2; 2016; 2022; 2025",Defense Evasion,T1562.001 - Disable or Modify Tools
CONF-6,Active,Disable autorun for all drives,Prevent automatic execution of removable media to reduce malware spread,"HKLM\SOFTWARE\Microsoft\Windows\CurrentVersion\Policies\Explorer\NoDriveTypeAutoRun=255",Domain Controller,"2012; 2012R2; 2016; 2022; 2025",Initial Access,T1091 - Replication Through Removable Media
CONF-7,Active,Enforce screen lock timeout,Lock session after inactivity to protect unattended systems,"HKCU\Control Panel\Desktop\ScreenSaveActive=1; ScreenSaveTimeOut=900; ScreenSaverIsSecure=1",Member Server,"2012; 2012R2; 2016; 2022; 2025",Defense Evasion,T1078 - Valid Accounts
CONF-8,Active,Disable LM and NTLMv1,Enforce NTLMv2 or higher to improve authentication security,"HKLM\SYSTEM\CurrentControlSet\Control\Lsa\LmCompatibilityLevel=5",All Roles,"2012; 2012R2; 2016; 2022; 2025",Credential Access,T1556.002 - Domain Controller Authentication
CONF-9,Active,Enable audit process creation logging,Record detailed command-line arguments for security investigations,"HKLM\SOFTWARE\Microsoft\Windows\CurrentVersion\Policies\System\Audit\ProcessCreationIncludeCmdLine_Enabled=1",Domain Controller,"2012; 2012R2; 2016; 2022; 2025",Discovery,T1057 - Process Discovery
CONF-10,Active,Restrict anonymous SID enumeration,Prevent anonymous users from enumerating accounts,"HKLM\SYSTEM\CurrentControlSet\Control\Lsa\RestrictAnonymousSAM=1",Member Server,"2012; 2012R2; 2016; 2022; 2025",Discovery,T1087.001 - Local Account Discovery
CONF-11,Retired,Disable insecure WinHTTP AutoProxy service,Stop WPAD-based proxy auto-discovery to reduce MITM risk,"HKLM\SYSTEM\CurrentControlSet\Services\WinHttpAutoProxySvc\Start=4",All Roles,"2012; 2012R2; 2016; 2022; 2025",Command and Control,T1071.001 - Web Protocols
CONF-12,Active,Configure Windows Firewall for inbound RDP,Allow inbound RDP only from trusted IP ranges,"HKLM\SYSTEM\CurrentControlSet\Services\SharedAccess\Parameters\FirewallPolicy\DomainProfile\AuthorizedApplications\List\RDP-Tcp=AllowFrom:10.0.0.0/24",Domain Controller,"2012; 2012R2; 2016; 2022; 2025",Initial Access,T1133 - External Remote Services
CONF-13,Active,Enable LSASS protection,Run LSASS as a protected process to mitigate credential theft,"HKLM\SYSTEM\CurrentControlSet\Control\Lsa\RunAsPPL=1",Member Server,"2012; 2012R2; 2016; 2022; 2025",Credential Access,T1003.001 - LSASS Memory
CONF-14,Active,Disable storage of LAN Manager hash,Prevent storing LM hashes in SAM database,"HKLM\SYSTEM\CurrentControlSet\Control\Lsa\NoLMHash=1",All Roles,"2012; 2012R2; 2016; 2022; 2025",Credential Access,T1003.001 - LSASS Memory
CONF-15,Active,Force secure channel signing,Require signed communications for domain joins and authentication,"HKLM\SYSTEM\CurrentControlSet\Services\Netlogon\Parameters\SignSecureChannel=1",Domain Controller,"2012; 2012R2; 2016; 2022; 2025",Credential Access,T1557.001 - LLMNR/NBT-NS Poisoning and Relay
CONF-16,Active,Enable Controlled Folder Access,Protect sensitive folders from ransomware and untrusted applications,"HKLM\SOFTWARE\Microsoft\Windows Defender\Windows Defender Exploit Guard\Controlled Folder Access\EnableControlledFolderAccess=1",Member Server,"2012; 2012R2; 2016; 2022; 2025",Impact,T1486 - Data Encrypted for Impact
CONF-17,Active,Enable Attack Surface Reduction rules,Block Office child processes and other high-risk behaviors,"HKLM\SOFTWARE\Microsoft\Windows Defender\Windows Defender Exploit Guard\ASR\Rules\D4F940AB-401B-4EFC-AADC-AD5F3C50688A=1; 75668C1F-73B5-4CF0-BB93-3ECF5CB7CC84=1",All Roles,"2012; 2012R2; 2016; 2022; 2025",Execution,T1204.002 - Malicious File
CONF-18,Active,Restrict PowerShell to Constrained Language Mode,Limit PowerShell to a safer mode for non-admins,"HKLM\SOFTWARE\Policies\Microsoft\Windows\PowerShell\ExecutionPolicy=RemoteSigned; HKLM\SYSTEM\CurrentControlSet\Control\Session Manager\Environment\__PSLockDownPolicy=4",Domain Controller,"2012; 2012R2; 2016; 2022; 2025",Execution,T1059.001 - PowerShell
CONF-19,Active,Disable SMB over NetBIOS,Require SMB traffic over TCP port 445 only,"HKLM\SYSTEM\CurrentControlSet\Services\NetBT\Parameters\SMBDeviceEnabled=0",All Roles,"2012; 2012R2; 2016; 2022; 2025",Lateral Movement,T1021.002 - SMB/Windows Admin Shares
CONF-20,Draft,Enable BitLocker for OS drives,Require TPM+PIN for system drive encryption,"HKLM\SOFTWARE\Policies\Microsoft\FVE\UseTPM=2; UsePIN=2",Member Server,"2012; 2012R2; 2016; 2022; 2025",Defense Evasion,T1070.005 - Network Share Connection Removal
CONF-21,Active,Disable TLS 1.0 and 1.1,Enforce TLS 1.2 or higher for all Windows components,"HKLM\SYSTEM\CurrentControlSet\Control\SecurityProviders\SCHANNEL\Protocols\TLS 1.0\Server\Enabled=0; TLS 1.1\Server\Enabled=0",Domain Controller,"2012; 2012R2; 2016; 2022; 2025",Defense Evasion,T1573.002 - Asymmetric Cryptography
CONF-22,Active,Enforce SMB signing,Require SMB signing for client and server connections,"HKLM\SYSTEM\CurrentControlSet\Services\LanmanServer\Parameters\RequireSecuritySignature=1; HKLM\SYSTEM\CurrentControlSet\Services\LanmanWorkstation\Parameters\RequireSecuritySignature=1",All Roles,"2012; 2012R2; 2016; 2022; 2025",Lateral Movement,T1021.002 - SMB/Windows Admin Shares
CONF-23,Retired,Disable vulnerable print spooler service,Stop Print Spooler to prevent PrintNightmare exploitation,"HKLM\SYSTEM\CurrentControlSet\Services\Spooler\Start=4",Member Server,"2012; 2012R2",Execution,T1059.003 - Windows Command Shell
CONF-24,Active,Enable exploit protection system-wide,Apply exploit mitigation settings for all processes,"HKLM\SOFTWARE\Microsoft\Windows NT\CurrentVersion\Image File Execution Options\MitigationOptions=0x1000000",Domain Controller,"2012; 2012R2; 2016; 2022; 2025",Defense Evasion,T1562.001 - Disable or Modify Tools
CONF-25,Active,Disable automatic driver updates,Prevent Windows Update from auto-installing drivers,"HKLM\SOFTWARE\Microsoft\Windows\CurrentVersion\DriverSearching\SearchOrderConfig=0",All Roles,"2016; 2022; 2025",Persistence,T1542.003 - Bootloader
CONF-26,Active,Disable unnecessary services,Stop unneeded services such as Remote Registry and Telnet,"HKLM\SYSTEM\CurrentControlSet\Services\RemoteRegistry\Start=4; Telnet\Start=4",Member Server,"2012; 2012R2; 2016; 2022; 2025",Execution,T1059 - Command and Scripting Interpreter
CONF-27,Active,Restrict removable storage access,Block USB storage devices via Group Policy,"HKLM\SYSTEM\CurrentControlSet\Services\USBSTOR\Start=4",Domain Controller,"2012; 2012R2; 2016; 2022; 2025",Exfiltration,T1052.001 - Exfiltration Over Physical Medium
CONF-28,Rejected,Disable insecure cipher suites,Remove RC4 and 3DES cipher support,"HKLM\SYSTEM\CurrentControlSet\Control\SecurityProviders\SCHANNEL\Ciphers\RC4 128/128\Enabled=0",All Roles,"2012; 2012R2; 2016; 2022; 2025",Defense Evasion,T1573.002 - Asymmetric Cryptography
CONF-29,Active,Enable advanced audit policy,"Configure granular auditing for logon, privilege use, and object access","HKLM\SOFTWARE\Policies\Microsoft\Windows\Audit\AuditPolicy=Advanced",Member Server,"2012; 2012R2; 2016; 2022; 2025",Discovery,T1087.002 - Domain Account Discovery
CONF-30,Active,Block legacy authentication protocols,Disable NTLM and basic authentication where possible,"HKLM\SYSTEM\CurrentControlSet\Control\Lsa\MSV1_0\NTLMMinClientSec=0x20080000",All Roles,"2012; 2012R2; 2016; 2022; 2025",Credential Access,T1556.002 - Domain Controller Authentication
